game_id,category,clue,answer,value,round
8998,A DATE IN HISTORY,"After this couple's first date in 1894, she went home to Poland while he wrote her letters about his ""dream for science""",UNKNOWN,200,Jeopardy
8998,IDIOMS & EXPRESSIONS,"In a sporty idiom, to make expectations higher is to do this, from field events like the pole vault",UNKNOWN,200,Jeopardy
8998,A WORD FROM YOUR DOCTOR,"When I ask if you have this kind of pain, I mean is it sharp or sudden, not from an angle of less than 90 degrees",UNKNOWN,200,Jeopardy
8998,ALSO A FISHING TERM,Just scoop ice cream on root beer for this type of beverage,UNKNOWN,200,Jeopardy
8998,A THING FOR FEATS,"It took Russ Cook 352 days to run the length of this continent, from Cape Agulhas to the Mediterranean",UNKNOWN,200,Jeopardy
8998,WE CRACK OURSELVES UP,"Tom Felton said Rupert Grint was fined 2,500 pounds (going to charity) over the 1st 2 films in this series for laughing mid-scene",UNKNOWN,200,Jeopardy
8998,A DATE IN HISTORY,In Tarsus in 41 B.C. Cleopatra wooed this beefy Roman by arriving to a date dressed as Venus,UNKNOWN,400,Jeopardy
8998,IDIOMS & EXPRESSIONS,"Someone of unappealing visage is said to have ""a face for"" this medium; Fred Allen said it of himself",UNKNOWN,400,Jeopardy
8998,A WORD FROM YOUR DOCTOR,"I'm afraid you've broken a brachial bone, brachial meaning a part of this body part",UNKNOWN,400,Jeopardy
8998,ALSO A FISHING TERM,Serling or Steiger,UNKNOWN,400,Jeopardy
8998,A THING FOR FEATS,In 2024 Anouk Garnier beat a record by rope climbing 361 feet to the second floor of this French landmark,UNKNOWN,400,Jeopardy
8998,WE CRACK OURSELVES UP,"You can see Matt LeBlanc try to hide real laughter as Joey ducks behind a panicked Ross, in search of a ring on this sitcom",UNKNOWN,400,Jeopardy
8998,A DATE IN HISTORY,"In the summer of 1989, this not-yet-famous couple went on a movie date in Chicago & saw a Spike Lee film",UNKNOWN,0,Jeopardy
8998,IDIOMS & EXPRESSIONS,"Completing ""give him his..."". it means to free him, but completing ""hand him his..."". it means to beat him",UNKNOWN,600,Jeopardy
8998,A WORD FROM YOUR DOCTOR,"I've got one of these forecasts for you, from Greek for ""prediction""",UNKNOWN,600,Jeopardy
8998,ALSO A FISHING TERM,"Per the OED, ""a well-known conjecture is that"" this friendly word ""was a familiar abbreviation of chamber-fellow""",UNKNOWN,600,Jeopardy
8998,A THING FOR FEATS,"In 2007 Alain Robert climbed an 88-story building with only his hands & feet while wearing this superhero costume, naturally",UNKNOWN,600,Jeopardy
8998,WE CRACK OURSELVES UP,"On ""SNL"", Heidi Gardner could not take Mikey Day's makeup when he & Ryan Gosling played this animated MTV duo",UNKNOWN,600,Jeopardy
8998,A DATE IN HISTORY,"On one of this duo's early dates in 1930, he crashed on her couch & in the morning, the Dallas police arrested him",UNKNOWN,800,Jeopardy
8998,IDIOMS & EXPRESSIONS,"You'll find the French word for ""beautiful"" in this phrase for the most attractive person in a given setting",UNKNOWN,800,Jeopardy
8998,A WORD FROM YOUR DOCTOR,"When I say this is ""thready"", I mean it's barely perceptible & feels kind of like a thin fiber moving under my finger",UNKNOWN,800,Jeopardy
8998,ALSO A FISHING TERM,This baseball pitch gets batters to hit a lot of ground balls,UNKNOWN,800,Jeopardy
8998,A THING FOR FEATS,"In 1955 Tex Johnston did this ""roll""-ing aerial maneuver in a big Boeing plane & later wrote, ""The airplane never knows it's inverted""",UNKNOWN,800,Jeopardy
8998,WE CRACK OURSELVES UP,"After Tim Conway's ad-lib story about Siamese elephants, Vicki Lawrence broke this show's cast w/ ""Sure that little (bleep) is through?""",UNKNOWN,800,Jeopardy
8998,A DATE IN HISTORY,"A tale of a medieval hookup: this pair met in Paris around 1115, had a son, but lived on separated as monk & nun",UNKNOWN,1000,Jeopardy
8998,IDIOMS & EXPRESSIONS,"This 2-part phrase meaning ""completely settled"" has a variation that's been used as a hair salon name",UNKNOWN,1000,Jeopardy
8998,A WORD FROM YOUR DOCTOR,I need to examine your ear--hold on while I grab this doohickey with a handle & a light that lets me look inside,UNKNOWN,1000,Jeopardy
8998,ALSO A FISHING TERM,"In computing, it's an acronym for a transfer of data to a temporary storage area",UNKNOWN,1000,Jeopardy
8998,A THING FOR FEATS,Jeanne Baret in the 1700s is credited with being the first woman to do this; she had to transfer ships to accomplish it,UNKNOWN,1000,Jeopardy
8998,WE CRACK OURSELVES UP,"Jack Nicholson, who may or may not have been under the influence, cracks up while talking about Venusians to Dennis Hopper in this film",UNKNOWN,1000,Jeopardy
8998,CANALS,"Arriving at New York City Nov. 4, 1825, the Seneca Chief became the first boat to travel the length of this canal",UNKNOWN,400,Double Jeopardy
8998,"""I"" + 4","Typically found at the end of a book, it's an alphabetical listing of items in the book, with page numbers",UNKNOWN,400,Double Jeopardy
8998,TOO MUCH OF SOMETHING,"Oxfam thinks Taylor Swift has too much money, as ""every"" one of these people ""is a policy failure""",UNKNOWN,400,Double Jeopardy
8998,TICK TOCK,"A major monument of Rouen, France is a Renaissance clock that has fabulous decorations & machinery, but only one of these",UNKNOWN,400,Double Jeopardy
8998,FACE BOOKS,"He published both ""The Eye Book"" & ""The Tooth Book"" as Theo. LeSieg, the last name being an anagram of Geisel",UNKNOWN,400,Double Jeopardy
8998,INSTA-GRAHAM,"It wasn't until March 17, 2024 that she joined Instagram, posting a picture from ""Gilmore Girls""",UNKNOWN,400,Double Jeopardy
8998,CANALS,"Scotland's Caledonian Canal runs through lakes, including this largest by volume in Britain that's also otherwise famous",UNKNOWN,800,Double Jeopardy
8998,"""I"" + 4",This Texas-based company has been making its iconic plastic ice chests since the 1960s,UNKNOWN,800,Double Jeopardy
8998,TOO MUCH OF SOMETHING,"You're feeling wired, your heart is racing--you're this 15-letter word & probably should have skipped that third espresso",UNKNOWN,800,Double Jeopardy
8998,TICK TOCK,"The mysteriously named Ohio Clock has stood in the U.S. Senate for two centuries; here, it's adjusted for this for the first time in 1918",UNKNOWN,800,Double Jeopardy
8998,FACE BOOKS,"Hawthorne's story ""The Great Stone Face"" refers to a natural landmark that was in the White Mountains of this state",UNKNOWN,800,Double Jeopardy
8998,INSTA-GRAHAM,"She describes herself on Instagram as an actress, filmmaker & big nerd",UNKNOWN,800,Double Jeopardy
8998,CANALS,"Although very short at 748 feet, this city's picturesque Winter Canal is crossed by three bridges, including the Hermitage Bridge",UNKNOWN,1200,Double Jeopardy
8998,"""I"" + 4","Last name of Max, son of a famous actor father & famous actress mother, Sinéad Cusack",UNKNOWN,1200,Double Jeopardy
8998,TOO MUCH OF SOMETHING,"Hi, I'm shame. Do you know my cousin, this? He has a complex named after him, when one is awash with feelings of having done wrong",UNKNOWN,1200,Double Jeopardy
8998,TICK TOCK,An iconic tower in this capital city has displayed a clock made by local company Seiko since 1966,UNKNOWN,1200,Double Jeopardy
